YEAR_ID,SEM_ID,STD_NO,COURSE_ID,COURSE_EDESC,AVG
2022,1,313134,11206,Object Oriented Programming,35.0
2022,1,313134,11102,Introduction to Computer Science,35.0
2022,1,313134,20233,Statistical Methods,35.0
2022,1,313134,31352,Jerusalem : History and Facts,43.0
2022,1,313134,11253,Object Oriented Programming Lab,50.0
2022,1,313134,20234,Linear Algebra,35.0
2022,2,313134,31352,Jerusalem : History and Facts,59.0
2022,2,313134,20234,Linear Algebra,35.0
2022,2,313134,11206,Object Oriented Programming,42.0
2022,2,313134,11102,Introduction to Computer Science,42.0
2020,1,325113,31351,Contemporary Issues in the Arab  World,53.0
2020,1,325113,31311,Scientific Research Methods,35.0
2020,1,325113,31130,Foreign languages,35.0
2020,1,325113,20233,Statistical Methods,50.0
2019,2,325113,31152,Arabic Islamic Civilization,65.0
2019,2,325113,11102,Introduction to Computer Science,35.0
2019,2,325113,31151,National Education,64.0
2019,2,325113,20132,Calculus (1),89.0
2019,3,325113,31351,Contemporary Issues in the Arab  World,73.0
2019,1,325113,31111,Arabic Language,56.0
2019,1,325113,31121,English Language,70.0
2019,1,325113,11102,Introduction to Computer Science,35.0
2019,1,325113,20132,Calculus (1),35.0
2019,1,326334,31151,National Education,62.0
2019,1,326334,31111,Arabic Language,62.0
2019,1,326334,20132,Calculus (1),35.0
2019,1,326334,11102,Introduction to Computer Science,35.0
2019,3,326334,20134,Discrete Mathematics (1),79.0
2019,3,326334,11103,Structured Programming,82.0
2020,2,326334,11206,Object Oriented Programming,35.0
2020,2,326334,14270,Statistics and  Probability for Data Science,66.0
2020,2,326334,14261,Data Engineering Lab,51.0
2020,2,326334,20133,Calculus (2),70.0
2020,2,326334,14260,Data Engineering,64.0
2020,3,326334,31311,Scientific Research Methods,66.0
2020,3,326334,31130,Foreign languages,90.0
2020,1,326334,14140,Introduction to Data Science,56.0
2020,1,326334,11253,Object Oriented Programming Lab,35.0
2020,1,326334,11206,Object Oriented Programming,35.0
2020,1,326334,20200,Technical Writing and Communication Skills,70.0
2020,1,326334,20233,Statistical Methods,80.0
2019,2,326334,11102,Introduction to Computer Science,62.0
2019,2,326334,31361,Introduction to  Philosophy,57.0
2019,2,326334,31121,English Language,77.0
2019,2,326334,20132,Calculus (1),83.0
2022,2,328490,14466,Business Intelligence,63.0
2022,2,328490,14351,Natural Language Processing,42.0
2022,2,328490,11464,Information Systems Security,50.0
2022,2,328490,11449,Computer and Society,82.0
2022,2,328490,14452,Pattern Recognition,52.0
2022,2,328490,14357,Special Topic In Data Science and AI (1),59.0
2022,1,328490,31130,Foreign Languages / Turkish,78.0
2022,1,328490,14466,Business Intelligence,44.0
2022,1,328490,13477,Software Engineering,50.0
2022,1,328490,11436,Distributed Systems,70.0
2022,1,328490,11313,Algorithms  Design and Analysis,50.0
2021,3,328490,31255,Entrepreneurship for Business,66.0
2021,3,328490,20234,Linear Algebra,60.0
2021,3,328490,11335,Operating Systems,66.0
2021,1,328490,11323,Database Systems,66.0
2021,1,328490,14261,Data Engineering Lab,66.0
2021,1,328490,20234,Linear Algebra,35.0
2021,1,328490,31352,Jerusalem : History and Facts,65.0
2021,1,328490,11354,Database Systems Lab,82.0
2021,1,328490,14330,Artificial Intelligence,83.0
2021,1,328490,14362,High Performance Computing for Big Data,63.0
2021,2,328490,14350,Computer Architecture for Machine Learning,56.0
2021,2,328490,14465,Data Mining,59.0
2021,2,328490,11355,Operating Systems Lab,57.0
2021,2,328490,11335,Operating Systems,43.0
2021,2,328490,14364,Data Visualization,68.0
2021,2,328490,31373,21st Century Skills,35.0
2020,2,328490,11212,Data Structures and Introduction to Algorithms,50.0
2020,2,328490,20200,Technical Writing and Communication Skills,86.0
2020,2,328490,20134,Discrete Mathematics (1),79.0
2020,1,328490,14260,Data Engineering,55.0
2020,1,328490,14261,Data Engineering Lab,35.0
2020,1,328490,11253,Object Oriented Programming Lab,62.0
2020,1,328490,31111,Arabic Language,71.0
2020,1,328490,31151,National Education,81.0
2020,1,328490,14270,Statistics and  Probability for Data Science,71.0
2020,1,328490,11206,Object Oriented Programming,67.0
2019,2,328490,20233,Statistical Methods,69.0
2019,2,328490,11103,Structured Programming,74.0
2019,2,328490,31121,English Language,96.0
2019,2,328490,14140,Introduction to Data Science,73.0
2019,2,328490,20133,Calculus (2),81.0
2019,2,328490,11151,Structured ProgrammingLab,78.0
2019,1,328490,31029,English Language (Remedial),60.0
2019,1,328490,20132,Calculus (1),70.0
2019,1,328490,11102,Introduction to Computer Science,65.0
2022,3,328644,11313,Algorithms  Design and Analysis,43.0
2022,3,328644,11436,Distributed Systems,58.0
2022,3,328644,11464,Information Systems Security,50.0
