STD_NO,MAJOR_EDESC,GENDER_EDESC,TAWJIH_COUNTRY,TAWJIH_GPA,TAWJIH_BRANCH
313134,Data Science & Artificial Intelligence,Male,Jordan,86,GCE Sci
328490,Data Science & Artificial Intelligence,Male,Jordan,87,Scientific
328644,Data Science & Artificial Intelligence,Male,Jordan,84,Scientific
329359,Data Science & Artificial Intelligence,Male,Jordan,76,GCE Sci
329524,Data Science & Artificial Intelligence,Female,Palestine,67,Scientific
327643,Data Science & Artificial Intelligence,Female,Jordan,81,Scientific
328633,Data Science & Artificial Intelligence,Male,K.S.A,84,GCE Sci
329150,Data Science & Artificial Intelligence,Male,Jordan,75,Industrial
326576,Data Science & Artificial Intelligence,Male,Jordan,76,IB Scie
327049,Data Science & Artificial Intelligence,Male,K.S.A,80,Scientific
327093,Data Science & Artificial Intelligence,Female,Jordan,85,GCE Sci
334254,Data Science & Artificial Intelligence,Male,Jordan,86,Scientific
332285,Data Science & Artificial Intelligence,Male,Jordan,92,Scientific
327357,Data Science & Artificial Intelligence,Female,K.S.A,92,Scientific
327544,Data Science & Artificial Intelligence,Male,Jordan,90,SAT2 Sci.
325080,Data Science & Artificial Intelligence,Male,Jordan,81,IB Scie
325201,Data Science & Artificial Intelligence,Male,Jordan,95,IB Scie
325927,Data Science & Artificial Intelligence,Male,K.S.A,76,Scientific
324629,Data Science & Artificial Intelligence,Male,Jordan,87,SAT2 Sci.
325454,Data Science & Artificial Intelligence,Male,U.A.E,88,Scientific
326400,Data Science & Artificial Intelligence,Male,U.A.E,88,Scientific
332868,Data Science & Artificial Intelligence,Male,Jordan,78,GCE Sci
333253,Data Science & Artificial Intelligence,Female,Jordan,92,Scientific
330063,Data Science & Artificial Intelligence,Female,Jordan,85,Scientific
318942,Data Science & Artificial Intelligence,Male,K.S.A,72,Scientific
327797,Data Science & Artificial Intelligence,Male,Jordan,77,Scientific
328160,Data Science & Artificial Intelligence,Male,U.A.E,92,Scientific
328171,Data Science & Artificial Intelligence,Male,Jordan,84,SAT2 Sci.
328204,Data Science & Artificial Intelligence,Female,Oman,79,Scientific
328226,Data Science & Artificial Intelligence,Male,Jordan,85,Scientific
326851,Data Science & Artificial Intelligence,Male,Jordan,83,Scientific
326939,Data Science & Artificial Intelligence,Male,Jordan,81,Scientific
333693,Data Science & Artificial Intelligence,Male,K.S.A,84,Scientific
331295,Data Science & Artificial Intelligence,Female,Kuwait,96,Scientific
331416,Data Science & Artificial Intelligence,Male,K.S.A,80,SAT2 Sci.
341569,Data Science & Artificial Intelligence,Male,Jordan,85,Scientific
341701,Data Science & Artificial Intelligence,Male,Jordan,94,Industrial
340172,Data Science & Artificial Intelligence,Male,U.A.E,91,GCE Sci
340733,Data Science & Artificial Intelligence,Male,Jordan,95,GCE Sci
340810,Data Science & Artificial Intelligence,Female,Jordan,86,GCE Sci
340854,Data Science & Artificial Intelligence,Female,U.A.E,91,Scientific
340898,Data Science & Artificial Intelligence,Female,Jordan,83,GCE Sci
340909,Data Science & Artificial Intelligence,Female,Jordan,87,GCE Sci
340953,Data Science & Artificial Intelligence,Male,Jordan,86,GCE Sci
342559,Data Science & Artificial Intelligence,Male,Jordan,84,GCE Sci
342625,Data Science & Artificial Intelligence,Female,Jordan,96,Scientific
334958,Data Science & Artificial Intelligence,Female,Jordan,81,Scientific
343098,Data Science & Artificial Intelligence,Male,Jordan,85,GCE Sci
341305,Data Science & Artificial Intelligence,Male,Jordan,94,Scientific
341327,Data Science & Artificial Intelligence,Female,Jordan,96,Scientific
341525,Data Science & Artificial Intelligence,Male,K.S.A,87,Scientific
343274,Data Science & Artificial Intelligence,Female,Jordan,92,GCE Sci
343593,Data Science & Artificial Intelligence,Male,K.S.A,87,SAT2 Sci.
343648,Data Science & Artificial Intelligence,Male,Jordan,95,GCE Sci
341723,Data Science & Artificial Intelligence,Male,Jordan,90,GCE Sci
341855,Data Science & Artificial Intelligence,Female,Jordan,89,GCE Sci
341932,Data Science & Artificial Intelligence,Male,Jordan,89,Scientific
342009,Data Science & Artificial Intelligence,Male,Jordan,85,GCE Sci
342020,Data Science & Artificial Intelligence,Male,Jordan,83,GCE Sci
335497,Data Science & Artificial Intelligence,Male,Jordan,75,Scientific
339391,Data Science & Artificial Intelligence,Male,K.S.A,90,SAT2 Sci.
340942,Data Science & Artificial Intelligence,Male,Jordan,97,Scientific
335343,Data Science & Artificial Intelligence,Female,Jordan,94,Scientific
335970,Data Science & Artificial Intelligence,Male,Jordan,83,Scientific
329656,Data Science & Artificial Intelligence,Female,Jordan,94,Scientific
